index,filename,cls_id,cls_name,conf,x1,y1,x2,y2
0,Pic_20251218223832409.bmp,,,,,,,
1,Pic_20251218223837153.bmp,2,insufficient_crimp,0.8178,790,965,1127,1227
2,Pic_20251218223844154.bmp,2,insufficient_crimp,0.7994,880,898,1240,1213
3,Pic_20251218223851713.bmp,2,insufficient_crimp,0.7699,816,954,1135,1207
4,Pic_20251218223854584.bmp,2,insufficient_crimp,0.8271,865,978,1184,1216
5,Pic_20251218223912064.bmp,,,,,,,
6,Pic_20251218223914088.bmp,,,,,,,
7,Pic_20251218223916330.bmp,,,,,,,
8,Pic_20251218223932456.bmp,,,,,,,
9,Pic_20251218223934520.bmp,,,,,,,
10,Pic_20251218223936458.bmp,,,,,,,
11,Pic_20251218223938673.bmp,,,,,,,
12,Pic_20251218223946552.bmp,,,,,,,
13,Pic_20251218223949241.bmp,,,,,,,
14,Pic_20251218223951667.bmp,,,,,,,
15,Pic_20251218224005224.bmp,,,,,,,
16,Pic_20251218224007784.bmp,,,,,,,
17,Pic_20251218224009641.bmp,,,,,,,
18,Pic_20251218224017896.bmp,,,,,,,
19,Pic_20251218224020057.bmp,,,,,,,
20,Pic_20251218224021580.bmp,,,,,,,
21,Pic_20251218224023993.bmp,,,,,,,
